default	18:24:34.231390-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 initial path ((null))] event: path:start @0.001s
default	18:24:34.231590-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 waiting path (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: path:satisfied @0.001s, uuid: 580FB786-C9AF-4544-AB36-A75F8813991F
default	18:24:34.231688-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: resolver:start_dns @0.001s
default	18:24:34.231746-0700	VNXNavigationApp	[0x109344c00] activating connection: mach=true listener=false peer=false name=com.apple.dnssd.service
default	18:24:34.231770-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> setting up Connection 1
default	18:24:34.255913-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281271 - WiFi in/out: 895001/553502, WiFi delta_in/delta_out: 0/36, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.001
default	18:24:34.257181-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281275 - WiFi in/out: 895001/553538, WiFi delta_in/delta_out: 0/36, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.022
default	18:24:34.262732-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281271 - WiFi in/out: 895142/553538, WiFi delta_in/delta_out: 141/0, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.026
default	18:24:34.265772-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281273 - WiFi in/out: 895338/553622, WiFi delta_in/delta_out: 196/84, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.027
default	18:24:34.268950-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281275 - WiFi in/out: 895598/553622, WiFi delta_in/delta_out: 260/0, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.027
default	18:24:34.272692-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#77ef6005.443
default	18:24:34.272722-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#64dcf5f2.443
default	18:24:34.272752-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#4cb25d3a:443
default	18:24:34.272795-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#73bedbfb.443
default	18:24:34.272842-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#ed87f676.443
default	18:24:34.272874-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#909ea497:443
default	18:24:34.272903-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#a25bf01a:443
default	18:24:34.272933-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#7b852762:443
default	18:24:34.272960-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#0a843635:443
default	18:24:34.272993-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#ae41228c:443
default	18:24:34.273025-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#e6dabde4:443
default	18:24:34.273062-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#9710efe6:443
default	18:24:34.273092-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#b96e68cc:443
default	18:24:34.273123-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#fa919543:443
default	18:24:34.273154-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#c18f8916:443
default	18:24:34.273319-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: resolver:receive_dns @0.037s
default	18:24:34.273521-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 initial path ((null))] event: path:start @0.037s
default	18:24:34.273721-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 waiting path (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: path:satisfied @0.038s, uuid: C51AD477-75AE-42A8-B056-87AE2238D37B
default	18:24:34.273854-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 in_progress channel-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:start_nexus @0.038s
default	18:24:34.274178-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 in_progress channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:receive_nexus @0.038s
default	18:24:34.274491-0700	VNXNavigationApp	user_tcp_init_all_block_invoke g_tcp_nw_assert_context is false value -1
default	18:24:34.274998-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 in_progress channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:start_connect @0.040s
default	18:24:34.275157-0700	VNXNavigationApp	tcp_output [C1.1.1.1:3] flags=[S] seq=3507164789, ack=0, win=65535 state=SYN_SENT rcv_nxt=0, snd_una=3507164789
default	18:24:34.290708-0700	VNXNavigationApp	tcp_input [C1.1.1.1:3] flags=[S.] seq=2763557311, ack=3507164790, win=65535 state=SYN_SENT rcv_nxt=0, snd_una=3507164789
default	18:24:34.290811-0700	VNXNavigationApp	nw_flow_connected [C1.1.1.1 IPv6#77ef6005.443 in_progress channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Transport protocol connected (tcp)
default	18:24:34.290942-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 in_progress channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:finish_transport @0.060s
default	18:24:34.291146-0700	VNXNavigationApp	boringssl_session_apply_protocol_options_for_transport_block_invoke(2182) [C1.1.1.1:2][0x112650000] TLS configured [min_version(0x0303) max_version(0x0304) name(redacted) tickets(false) false_start(false) enforce_ev(false) enforce_ats(false) ats_non_pfs_ciphersuite_allowed(false) ech(false) pqtls(false), pake(false)]
default	18:24:34.291245-0700	VNXNavigationApp	boringssl_context_info_handler(2374) [C1.1.1.1:2][0x112650000] Client handshake started
default	18:24:34.291383-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS client enter_early_data
default	18:24:34.291656-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS client read_server_hello
default	18:24:34.318809-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_hello_retry_request
default	18:24:34.320355-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_server_hello
default	18:24:34.320518-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_encrypted_extensions
default	18:24:34.321269-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_certificate_request
